ID,County,Jurisdiction,Precinct,Population,White,Black,Native,Asian,Island,Other,Multi,H_Population,H_White,H_Black,H_Native,H_Asian,H_Island,H_Other,H_Multi,Democrat,Republican,Libertarian,Green
P1632200005454,Wayne County,WAYNE,DETROIT CITY; 454,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
P0636518000001,Huron County,HURON,POINTE AUX BARQUES TOWNSHIP; 1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,1,1
P0715086000002,Iron County,IRON,MANSFIELD TOWNSHIP; 2,14,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,5,0,0
P1310946000001,Ontonagon County,ONTONAGON,BOHEMIA TOWNSHIP; 1,32,31,0,0,0,0,1,0,3,2,0,0,0,0,1,0,10,11,1,1
P1632200006450,Wayne County,WAYNE,DETROIT CITY; 450,36,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0
P1632200005441,Wayne County,WAYNE,DETROIT CITY; 441,40,4,33,0,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,0
P0033338000001,Alger County,ALGER,GRAND ISLAND TOWNSHIP; 1,47,40,0,4,0,0,0,3,0,0,0,0,0,0,0,0,15,9,2,0
P1310946000002,Ontonagon County,ONTONAGON,BOHEMIA TOWNSHIP; 2,50,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,13,0,0
P1632200006458,Wayne County,WAYNE,DETROIT CITY; 458,57,1,55,0,0,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0
P0438552000001,Dickinson County,DICKINSON,WEST BRANCH TOWNSHIP; 1,63,62,0,1,0,0,0,0,1,1,0,0,0,0,0,0,11,18,1,1
P1632200001490,Wayne County,WAYNE,DETROIT CITY; 490,62,0,60,0,0,0,0,2,1,0,1,0,0,0,0,0,19,0,0,1
P0998400003011,Macomb County,MACOMB,WARREN CITY; Ward 3; Precinct 11,63,50,9,0,0,0,0,4,0,0,0,0,0,0,0,0,10,5,0,0
P1458934000001,Saginaw County,SAGINAW,ZILWAUKEE TOWNSHIP; 1,67,55,9,0,0,0,0,3,8,7,0,0,0,0,0,1,14,29,1,0
P0837322000001,Keweenaw County,KEWEENAW,SHERMAN TOWNSHIP; 1,67,62,0,0,0,0,1,4,2,0,0,0,0,0,1,1,26,32,2,0
P0998245300003,Macomb County,MACOMB,GROSS POINTE SHORES CITY; 3,79,73,0,0,4,0,1,1,2,1,0,0,0,0,1,0,14,31,1,0
P1632200006148,Wayne County,WAYNE,DETROIT CITY; 148,81,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
P0833938000001,Keweenaw County,KEWEENAW,HOUGHTON TOWNSHIP; 1,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,2,1
P1632200003090,Wayne County,WAYNE,DETROIT CITY; 90,86,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
P1315232000001,Ontonagon County,ONTONAGON,MATCHWOOD TOWNSHIP; 1,94,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33,4,0
P0970950000001,Mackinac County,MACKINAC,BOIS BLANC TOWNSHIP; 1,95,84,0,5,0,0,0,6,0,0,0,0,0,0,0,0,36,46,4,0
P0715230000002,Iron County,IRON,MASTODON TOWNSHIP; 2,112,111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,39,1,0
P0612334000002,Houghton County,HOUGHTON,DUNCAN TOWNSHIP; 2,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,0,1
P0612334000001,Houghton County,HOUGHTON,DUNCAN TOWNSHIP; 1,120,116,0,3,1,0,0,0,0,0,0,0,0,0,0,0,18,56,0,0
P1537250000001,Schoolcraft County,SCHOOLCRAFT,SENEY TOWNSHIP; 1,119,113,0,3,0,0,0,3,1,1,0,0,0,0,0,0,10,55,5,0
P1632200003101,Wayne County,WAYNE,DETROIT CITY; 101,120,4,114,0,0,0,1,1,0,0,0,0,0,0,0,0,18,0,1,0
